ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Meaning,Sense_ID,Entry_ID
Hungarian-253-angelegenheit-1,4,Hungarian,253-angelegenheit,akció,akció,ɒ k t͡s i oː,,uesz,,,^ a k c i ó $,default,Klage; Klageschrift; Angelegenheit; Rede; Rolle; Behandlung; Handlung; Tätigkeit; Wirkung; Geltrafe; Aktion als grammatischer Terminus,Angelegenheit-1,136-akcio
Hungarian-60-luft-1,8,Hungarian,60-luft,ájer ×,ájer,aː j ɛ r,,uesz,,,^ á j e r $,default,Luft; Luft; Atmosphäre; Atmosphäre; heilkräftige Flüssigkeit; heilkräftige Flüssigkeit; Wind; Wind; Gestank; Gestank,Luft-1,123-ajer
Hungarian-60-luft-2,9,Hungarian,60-luft,ájer ×,ájer,aː j ɛ r,,uesz,,,^ á j e r $,default,Luft; Luft; Atmosphäre; Atmosphäre; heilkräftige Flüssigkeit; heilkräftige Flüssigkeit; Wind; Wind; Gestank; Gestank,Luft-2,123-ajer
Hungarian-132-tier-1,16,Hungarian,132-tier,állat,állat,aː lː ɒ t,,uesz,,,^ á ll a t $,default,Gestalt; Gerät; Wesen; Zustand; Lebewesen; Sache; Tier; Vierfüßer; nagy termetű,Tier-1,210-allat
Hungarian-172-apfel-1,18,Hungarian,172-apfel,alma,alma,ɒ l m ɒ,,uesz,,,^ a l m a $,default,Apfelbaum; Apfel; 〈als Ausdruck der Verneinung〉; Apfelgarten; mit Apfelmotiven versehen 〈zB weißes Pferd〉; faul 〈im Arg〉,Apfel-1,219-alma
Hungarian-465-april-1,19,Hungarian,465-april,április,április,aː p r i l i ʃ,,uesz,,,^ á p r i l i s $,default,April,April-1,306-aprilis
Hungarian-26-arm-1,21,Hungarian,26-arm,ág,ág,aː ɡ,,uesz,,,^ á g $,default,Flußarm; Ast; Sippe; Parentel; herausragender Teil von etw; Arm; Teil einer Begriffsklasse; abzweigen,Arm-1,56-ag
Hungarian-469-august-1,30,Hungarian,469-august,augusztus,augusztus,ɒ u ɡ u s t u ʃ,,uesz,,,^ a u g u sz t u s $,default,August,August-1,416-augusztus
Hungarian-314-bett-1,55,Hungarian,314-bett,ágy,ágy,aː ɟ,,uesz,,,^ á gy $,default,Flußbett; Flußbett; Bett; Bett; Lagerstätte; Lafette; Lafette; Essiglager; Essiglager; Bodensatz; Bodensatz; Beet; Beet; 〈als Symbol der Familie〉; 〈als Symbol der Familie〉; Streu; Streu; Bettzeug; Bettzeug; auf der Tenne ausgebreitetes Getreide bzw. aisgebreitete Garben; Konkubine; Konkubine; ausgebreitetes Getreide; ausgebreitete Garben 〈auf der Tenne〉,Bett-1,108-agy
Hungarian-314-bett-2,56,Hungarian,314-bett,ágy,ágy,aː ɟ,,uesz,,,^ á gy $,default,Flußbett; Flußbett; Bett; Bett; Lagerstätte; Lafette; Lafette; Essiglager; Essiglager; Bodensatz; Bodensatz; Beet; Beet; 〈als Symbol der Familie〉; 〈als Symbol der Familie〉; Streu; Streu; Bettzeug; Bettzeug; auf der Tenne ausgebreitetes Getreide bzw. aisgebreitete Garben; Konkubine; Konkubine; ausgebreitetes Getreide; ausgebreitete Garben 〈auf der Tenne〉,Bett-2,108-agy
Hungarian-387-decke-1,74,Hungarian,387-decke,abrosz,abrosz,ɒ b r o s,,uesz,,,^ a b r o sz $,default,Tischtuch; Landkarte; Decke; Bettlaken,Decke-1,20-abrosz
Hungarian-991-prahlen-1,82,Hungarian,991-prahlen,ágál,ágál,aː ɡ aː l,,uesz,,,^ á g á l $,default,prozessieren; aufführen; 〈eine Rolle〉 darstellen; 〈eine Sache〉 erledigen; heftig gestikulierend reden; Rechtspraxis ausüben; großtun; prahlen,prahlen-1,58-agal
Hungarian-940-belastigen-1,93,Hungarian,940-belastigen,abajgat,abajgat,ɒ b ɒ j ɡ ɒ t,,uesz,,,^ a b a j g a t $,default,beunruhigen; belästigen; hetzen; jagen; schreien; prügeln,belastigen-1,5-abajgat
Hungarian-316-kiste-1,95,Hungarian,316-kiste,almárium ×,almárium,ɒ l m aː r i u m,,uesz,,,^ a l m á r i u m $,default,Schrank; Kiste,Kiste-1,221-almarium
Hungarian-45-gehirn-1,97,Hungarian,45-gehirn,agy,agy,ɒ ɟ,,uesz,,,^ a gy $,default,Schädel; Schädel; Kopf; Kopf; Nabe; Nabe; Gewehrkolben; Gewehrkolben; Halfter; Halfter; Gehirn; Gehirn; Vernunft; Vernunft; verprügeln; verprügeln; ausklügeln; ausklügeln; ersinnen; ersinnen,Gehirn-1,107-agy
Hungarian-45-gehirn-2,98,Hungarian,45-gehirn,agy,agy,ɒ ɟ,,uesz,,,^ a gy $,default,Schädel; Schädel; Kopf; Kopf; Nabe; Nabe; Gewehrkolben; Gewehrkolben; Halfter; Halfter; Gehirn; Gehirn; Vernunft; Vernunft; verprügeln; verprügeln; ausklügeln; ausklügeln; ersinnen; ersinnen,Gehirn-2,107-agy
Hungarian-115-ast-1,99,Hungarian,115-ast,ág,ág,aː ɡ,,uesz,,,^ á g $,default,Flußarm; Ast; Sippe; Parentel; herausragender Teil von etw; Arm; Teil einer Begriffsklasse; abzweigen,Ast-1,56-ag
