ID,Description,Entry_ID,Spacy
eineInterjektion-1,eine Interjektion,1-a,eine Interjektion
eineInterjektion-2,〈eine Interjektion〉,2-a,eine Interjektion
eineInterjektion-3,〈eine Interjektion〉,3296-hah,eine Interjektion
eineInterjektion-4,eine Interjektion,3297-hahaha,eine Interjektion
eineInterjektion-5,eine Interjektion,3298-haho,eine Interjektion
eineInterjektion-6,〈eine Interjektion〉,3302-haj,eine Interjektion
eineInterjektion-7,〈eine Interjektion〉,3336-haliho,eine Interjektion
eineInterjektion-8,〈eine Interjektion〉,3353-hamm,eine Interjektion
Flausch-1,Flausch,3-aba,Flausch
Flausch-2,Flausch,10043-zeke,Flausch
Fries-1,Fries,3-aba,Fries
Fries-2,Fries,1718-daroc,Fries
Flanell-1,Flanell,3-aba,Flanell
Flanell-2,Flanell,2614-flanell,Flanell
BesatzamRock-1,Besatz am Rock,3-aba,Besatz am Rock
gemischt-1,gemischt,4-abajdoc,gemischt
gemischt-2,gemischt,2082-egyveleg,gemischt
Mischkorn-1,Mischkorn,4-abajdoc,
Mischkorn-2,Mischkorn,2861-gabona,
schmutzigesGetreide-1,schmutziges Getreide,4-abajdoc,schmutziges Getreide
Fra-1,Fraß,4-abajdoc,Fraß
Fra-2,Fraß,4227-kagyma,Fraß
Fra-3,Fraß,5667-locspocs,Fraß
Gekoch-1,Gekoch,4-abajdoc,
Gekoch-2,Gekoch,2715-fo,
Gekoch-3,Gekoch,2995-gezemice,
Gekoch-4,Gekoch,4227-kagyma,
Gekoch-5,Gekoch,8722-szerdek,
beunruhigen-1,beunruhigen,5-abajgat,beunruhigen
beunruhigen-2,beunruhigen,67-aggik,beunruhigen
beunruhigen-3,beunruhigen,173-alarmiroz,beunruhigen
beunruhigen-4,beunruhigen,2791-ful,beunruhigen
beunruhigen-5,beunruhigen,3270-haborgat,beunruhigen
beunruhigen-6,beunruhigen,3271-haborit,beunruhigen
beunruhigen-7,beunruhigen,3271-haborit,beunruhigen
