ID	EntryID	Segments	Meaning
0	27-acel	ɒ t͡s eː l	Stahl
1	36-ad	ɒ d	zukommen, lassen, schenken, geben, liefern, lassen, verkaufen, veröffentlichen, Geben, Beleg, Angabe, Gesetzgeber, Herausgeber, Teil, Tradition, Beitrag
2	56-ag	aː ɡ	Ast, Sippe, herausragender, Teil, etw, Arm, Teil, abzweigen
3	60-agar	ɒ ɡ aː r	Windhund, magerer, Mensch
4	74-agy	ɒ ɟ	Schädel, Kopf, Nabe, Gewehrkolben, Halfter, Gehirn, Vernunft, verprügeln, ersinnen
5	78-agyag	ɒ ɟ ɒ ɡ	Ton
6	85-aj	aː j	Tal, Schlucht, Öffnung, Falz, Kerbe, Zaum, Zwischenraum, angezeichnet, Sardelle, Sardelle
7	87-ajandek	ɒ j aː n.d eː k	Geschenk, Opfergabe
8	98-akar	ɒ k ɒ r	freiwillig, gewaltsam
9	100-akaszt	ɒ k ɒ s.t	hängen, schlagen, Haken, binden
10	107-agy	ɒ ɟ	Schädel, Kopf, Nabe, Gewehrkolben, Halfter, Gehirn, Vernunft, verprügeln, ersinnen
11	111-agyag	ɒ ɟ ɒ ɡ	Ton, Lehm
12	119-aj	aː j	Tal, Schlucht, Öffnung, Zwischenraum, Falz, Kerbe, Zaum, angezeichnet, Sardelle
13	121-ajandek	ɒ j aː n.d eː k	Geschenk, Opfergabe
14	132-akar	ɒ k ɒ r	freiwillig, gewaltsam
15	134-akaszt	ɒ k ɒ s.t	hängen, Haken, binden
16	142-akna	ɒ k.n ɒ	Spund, Schacht, Öffnung, Fenster, Bergwerk, Kamin, Geschoß, Soldat
17	144-akol	ɒ k o l	Viehstall, Art
18	158-al	ɒ l	unterer, Tiefland, etw, befindliches, Gebiet, etw, befindliche, Sache, Unterteil, Rest, Streu, Grund, Basis
19	159-al	aː l	falsch, Falschheit
20	163-alacsony	ɒ l ɒ t͡ʃ o ɲ	klein, untergeordnet, niederträchtig, niedergedrückt, niederträchtig
21	183-ald	aː l.d	opfern, segnen, Gutes, wünschen, preisen, heiligen, schimpfen
22	184-aldomas	aː l.d o m aː ʃ	Opfer, Segnung, Erlaubnis, Gelage, Trinkspruch
23	219-alma	ɒ l.m ɒ	Apfelbaum, Apfel, Ausdruck, Verneinung, Apfelgarten, versehen, zB, weißes, Pferd, faul, Arg
24	227-alom	aː l o m	Traum, Schlaf, Einschlafen
