ID	EntryID	Year	Etymology
0-2-a	2-a	1372	
1-17-abraz	17-abraz	1372	
2-20-abrosz	20-abrosz	1372	Slavic
3-27-acel	27-acel	1086	Slavic
4-30-acs	30-acs	1222	Turkic
5-36-ad	36-ad	1086	Proto-Finno-Ugric
6-45-ado	45-ado	1359	derived word
7-78-agyag	78-agyag	1205	unknown
8-85-aj	85-aj	1055	
9-86-ajak	86-ajak	1228	derived word
10-87-ajandek	87-ajandek	1137	derived word
11-91-ajtatos	91-ajtatos	1372	derived word
12-100-akaszt	100-akaszt	1192	
13-111-agyag	111-agyag	1205	
14-119-aj	119-aj	1055	
15-120-ajak	120-ajak	1228	
16-121-ajandek	121-ajandek	1137	
17-125-ajtatos	125-ajtatos	1372	
18-126-ajto	126-ajto	1315	
19-132-akar	132-akar	1109	
20-134-akaszt	134-akaszt	1192	
21-158-al	158-al	1219	
22-160-ala	160-ala	1307	
23-167-alamizsna	167-alamizsna	1372	Slavic
24-176-alattsag	176-alattsag	1395	Croatian or Serbian
25-183-ald	183-ald	1193	Proto-Finno-Ugric
26-185-aldoz	185-aldoz	1372	derived word
27-191-alig	191-alig	1372	lexicalized inflected word-form
28-192-alit	192-alit	1372	derived word
29-202-all	202-all	1372	
30-219-alma	219-alma	1009	Turkic
31-223-alnok	223-alnok	1247	derived word
32-227-alom	227-alom	1091	Proto-Finno-Ugric
33-233-alszik	233-alszik	1265	
34-235-altal	235-altal	1258	
35-265-anglus	265-anglus	1405	
36-267-angy	267-angy	1380	Proto-Uralic
37-271-anizs	271-anizs	1378	Wanderwort
38-282-anya	282-anya	1181	Proto-Uralic
39-288-annyi	288-annyi	1372	derived word
40-290-apa	290-apa	1055	Proto-Finno-Ugric
41-291-apaca	291-apaca	1256	uncertain
42-293-apad	293-apad	1131	
43-294-apaszt	294-apaszt	1399	
44-296-apat	296-apat	1180	uncertain
45-303-apostol	303-apostol	1217	Latin
46-311-ar	311-ar	1193	
47-312-ar	312-ar	1395	Proto-Finno-Ugric
48-321-arasz	321-arasz	1405	Proto-Finno-Ugric
49-349-arnyek	349-arnyek	1275	
50-351-arok	351-arok	1055	Turkic
51-353-arpa	353-arpa	1086	Turkic
52-356-artany	356-artany	1075	uncertain
53-366-arviz	366-arviz	1395	compound
54-369-asit	369-asit	1372	onomatopoetic
55-371-aspa	371-aspa	1405	
56-375-aspis	375-aspis	1372	Latin
57-380-aszik	380-aszik	1275	Proto-Ugric
58-391-asztal	391-asztal	1293	Slavic
59-397-atalag	397-atalag	1395	
60-404-atlasz	404-atlasz	1380	Wanderwort
61-413-atval	413-atval	1395	compound
62-414-atya	414-atya	1181	Proto-Uralic
63-425-avagy	425-avagy	1372	compound
64-428-avas	428-avas	1232	semantic change
65-434-az	434-az	1372	
66-435-az	435-az	1372	
67-436-azaz	436-azaz	1372	compound
68-443-azutan	443-azutan	1372	
69-447-abraz	447-abraz	1372	
70-454-baba	454-baba	1111	Slavic
71-475-bagoly	475-bagoly	1211	unknown
72-476-bagzik	476-bagzik	1283	
73-482-bajor	482-bajor	1213	loan
74-484-bajos	484-bajos	1387	
75-487-bajvivas	487-bajvivas	1395	
76-490-bakacsin	490-bakacsin	1387	loan
77-498-bako	498-bako	1229	unknown
78-504-bal	504-bal	1086	uncertain
79-506-bala	506-bala	1355	loan
80-515-balin	515-balin	1395	
81-528-balzsam	528-balzsam	1265	Wanderwort
82-529-bamba	529-bamba	1400	derived word
83-531-ban	531-ban	1372	uncertain
84-532-ban	532-ban	1138	Croatian or Serbian
85-545-bant	545-bant	1138	derived word
86-547-banya	547-banya	1217	Slavic
87-563-barazda	563-barazda	1086	Slavic
88-581-barlang	581-barlang	1233	Slavic
89-582-barna	582-barna	1255	loan
90-583-baro	583-baro	1291	loan
91-585-barom	585-barom	1247	Turkic
92-600-bator	600-bator	1086	Turkic
93-604-batya	604-batya	1271	uncertain
94-617-be	617-be	1372	clipping
95-621-beco	621-beco	1247	unknown
96-624-becs	624-becs	1364	Croatian or Serbian
97-629-beg	629-beg	1292	
98-632-begy	632-begy	1318	uncertain
99-635-beka	635-beka	1295	Turkic
100-640-bel	640-bel	1055	Proto-Finno-Ugric
101-652-belso	652-belso	1225	derived word
102-653-belul	653-belul	1372	
103-658-benne	658-benne	1372	
104-663-ber	663-ber	1121	uncertain
105-668-berc	668-berc	1135	Slavic
106-671-berek	671-berek	1193	uncertain
107-674-berhe	674-berhe	1358	loan
108-675-berill	675-berill	1395	Wanderwort
109-677-berkenye	677-berkenye	1055	Slavic
110-682-bese	682-bese	1138	uncertain
111-688-beszed	688-beszed	1138	
112-691-beteg	691-beteg	1372	uncertain
113-696-bezzeg	696-bezzeg	1219	lexicalized inflected word-form
114-710-bicsak	710-bicsak	1408	uncertain
115-737-bir	737-bir	1372	uncertain
116-739-birka	739-birka	1347	uncertain
117-742-birsag	742-birsag	1276	derived word
118-751-bizik	751-bizik	1138	unknown
119-753-bizony	753-bizony	1057	
120-772-bocer	772-bocer	1405	
121-774-bocs	774-bocs	1237	Slavic
122-776-bocsanat	776-bocsanat	1372	
123-777-bocsar	777-bocsar	1002	Slavic
124-778-bocsat	778-bocsat	1372	Chuvash
125-781-boda	781-boda	1395	uncertain
126-788-bodor	788-bodor	1090	derived word
127-791-bodzfa	791-bodzfa	1257	compound
128-793-bogancs	793-bogancs	1248	derived word
129-796-boglya	796-boglya	1291	uncertain
130-808-bojtorjan	808-bojtorjan	1237	Turkic
131-810-boka	810-boka	1193	Turkic
132-823-boldog	823-boldog	1193	internal
133-826-bolgar	826-bolgar	1138	Bulgarian
134-827-bolha	827-bolha	1200	Slavic
135-829-bolond	829-bolond	1200	Slavic
136-833-bolt	833-bolt	1211	loan
137-843-bonc	843-bonc	1193	unknown
138-849-bont	849-bont	1337	
139-860-bordely	860-bordely	1405	loan
140-865-borju	865-borju	1211	Chuvash
141-868-borona	868-borona	1406	Slavic
142-871-borostyan	871-borostyan	1282	Slavic
143-874-borotva	874-borotva	1332	Slavic
144-878-borso	878-borso	1229	Turkic
145-880-borz	880-borz	1131	Turkic
146-888-bot	888-bot	1131	uncertain
147-900-bo	900-bo	1138	Turkic
148-907-bojt	907-bojt	1181	loan
149-911-bolcs	911-bolcs	1211	Turkic
