ID	EntryID	Year	Etymology
13-20-abrosz	20-abrosz	1372	Slavic
20-27-acel	27-acel	1086	Slavic
109-167-alamizsna	167-alamizsna	1372	Slavic
273-391-asztal	391-asztal	1293	Slavic
311-454-baba	454-baba	1111	Slavic
371-547-banya	547-banya	1217	Slavic
381-563-barazda	563-barazda	1086	Slavic
391-581-barlang	581-barlang	1233	Slavic
448-668-berc	668-berc	1135	Slavic
454-677-berkenye	677-berkenye	1055	Slavic
524-774-bocs	774-bocs	1237	Slavic
526-777-bocsar	777-bocsar	1002	Slavic
553-827-bolha	827-bolha	1200	Slavic
555-829-bolond	829-bolond	1200	Slavic
579-868-borona	868-borona	1406	Slavic
581-871-borostyan	871-borostyan	1282	Slavic
583-874-borotva	874-borotva	1332	Slavic
757-1169-cekla	1169-cekla	1322	Slavic
862-1348-csalad	1348-csalad	1113	Slavic
884-1383-csaszar	1383-csaszar	1233	Slavic
891-1399-cseber	1399-cseber	1219	Slavic
930-1463-cseresznye	1463-cseresznye	1256	Slavic
936-1476-cseter	1476-cseter	1211	Slavic
969-1533-csin	1533-csin	1181	Slavic
975-1548-csiperke	1548-csiperke	1228	Slavic
988-1569-csiz	1569-csiz	1193	Slavic
992-1578-csoda	1578-csoda	1105	Slavic
999-1597-csorda	1597-csorda	1282	Slavic
1017-1639-csuka	1639-csuka	1152	Slavic
1037-1679-csutortok	1679-csutortok	1206	Slavic
1046-1689-dajka	1689-dajka	1359	Slavic
1061-1711-darab	1711-darab	1270	Slavic
1171-1876-doh	1876-doh	1214	Slavic
1211-1939-draga	1939-draga	1208	Slavic
1262-2018-ebed	2018-ebed	1372	Slavic
1413-2213-epleny	2213-epleny	1395	Slavic
1426-2235-erge	2235-erge	1339	Slavic
1460-2285-eszterag	2285-eszterag	1329	Slavic
1462-2288-eszterhej	2288-eszterhej	1405	Slavic
1846-2874-galagonya	2874-galagonya	1327	Slavic
1851-2889-galna	2889-galna	1193	Slavic
1899-2974-gerencser	2974-gerencser	1109	Slavic
1900-2975-gerenda	2975-gerenda	1320	Slavic
1930-3029-godolya	3029-godolya	1275	Slavic
1937-3042-gomba	3042-gomba	1138	Slavic
1946-3053-gonosz	3053-gonosz	1211	Slavic
1950-3062-gorond	3062-gorond	1330	Slavic
1969-3096-gorog	3096-gorog	1156	Slavic
