ID	EntryID	Year	Etymology
13-20-abrosz	20-abrosz	1372	Slavic
20-27-acel	27-acel	1086	Slavic
22-30-acs	30-acs	1222	Turkic
27-36-ad	36-ad	1086	Proto-Finno-Ugric
34-45-ado	45-ado	1359	derived word
51-78-agyag	78-agyag	1205	unknown
59-86-ajak	86-ajak	1228	derived word
60-87-ajandek	87-ajandek	1137	derived word
62-91-ajtatos	91-ajtatos	1372	derived word
109-167-alamizsna	167-alamizsna	1372	Slavic
117-176-alattsag	176-alattsag	1395	Croatian or Serbian
122-183-ald	183-ald	1193	Proto-Finno-Ugric
123-185-aldoz	185-aldoz	1372	derived word
129-191-alig	191-alig	1372	lexicalized inflected word-form
130-192-alit	192-alit	1372	derived word
151-219-alma	219-alma	1009	Turkic
155-223-alnok	223-alnok	1247	derived word
158-227-alom	227-alom	1091	Proto-Finno-Ugric
190-267-angy	267-angy	1380	Proto-Uralic
191-271-anizs	271-anizs	1378	Wanderwort
200-282-anya	282-anya	1181	Proto-Uralic
206-288-annyi	288-annyi	1372	derived word
208-290-apa	290-apa	1055	Proto-Finno-Ugric
209-291-apaca	291-apaca	1256	uncertain
214-296-apat	296-apat	1180	uncertain
220-303-apostol	303-apostol	1217	Latin
225-312-ar	312-ar	1395	Proto-Finno-Ugric
232-321-arasz	321-arasz	1405	Proto-Finno-Ugric
249-351-arok	351-arok	1055	Turkic
251-353-arpa	353-arpa	1086	Turkic
254-356-artany	356-artany	1075	uncertain
259-366-arviz	366-arviz	1395	compound
261-369-asit	369-asit	1372	onomatopoetic
265-375-aspis	375-aspis	1372	Latin
268-380-aszik	380-aszik	1275	Proto-Ugric
273-391-asztal	391-asztal	1293	Slavic
280-404-atlasz	404-atlasz	1380	Wanderwort
284-413-atval	413-atval	1395	compound
285-414-atya	414-atya	1181	Proto-Uralic
294-425-avagy	425-avagy	1372	compound
296-428-avas	428-avas	1232	semantic change
301-436-azaz	436-azaz	1372	compound
311-454-baba	454-baba	1111	Slavic
325-475-bagoly	475-bagoly	1211	unknown
330-482-bajor	482-bajor	1213	loan
335-490-bakacsin	490-bakacsin	1387	loan
339-498-bako	498-bako	1229	unknown
343-504-bal	504-bal	1086	uncertain
345-506-bala	506-bala	1355	loan
357-528-balzsam	528-balzsam	1265	Wanderwort
