ID	EntryID	Year	Etymology
51-78-agyag	78-agyag	1205	unknown
209-291-apaca	291-apaca	1256	uncertain
214-296-apat	296-apat	1180	uncertain
254-356-artany	356-artany	1075	uncertain
325-475-bagoly	475-bagoly	1211	unknown
339-498-bako	498-bako	1229	unknown
343-504-bal	504-bal	1086	uncertain
360-531-ban	531-ban	1372	uncertain
406-604-batya	604-batya	1271	uncertain
420-621-beco	621-beco	1247	unknown
427-632-begy	632-begy	1318	uncertain
446-663-ber	663-ber	1121	uncertain
449-671-berek	671-berek	1193	uncertain
459-682-bese	682-bese	1138	uncertain
465-691-beteg	691-beteg	1372	uncertain
478-710-bicsak	710-bicsak	1408	uncertain
501-737-bir	737-bir	1372	uncertain
502-739-birka	739-birka	1347	uncertain
508-751-bizik	751-bizik	1138	unknown
528-781-boda	781-boda	1395	uncertain
533-796-boglya	796-boglya	1291	uncertain
563-843-bonc	843-bonc	1193	unknown
591-888-bot	888-bot	1131	uncertain
685-1045-bukk	1045-bukk	1086	uncertain
690-1050-burok	1050-burok	1357	unknown
693-1057-buz	1057-buz	1233	uncertain
769-1186-cenk	1186-cenk	1138	unknown
836-1300-comb	1300-comb	1407	unknown
837-1301-compo	1301-compo	1211	uncertain
842-1311-cudar	1311-cudar	1348	uncertain
860-1341-csak	1341-csak	1372	unknown
861-1346-csako	1346-csako	1291	uncertain
892-1400-csecs	1400-csecs	1224	uncertain
899-1410-csekle	1410-csekle	1237	uncertain
912-1427-csen	1427-csen	1138	unknown
981-1556-csira	1556-csira	1400	uncertain
1008-1620-csomor	1620-csomor	1135	uncertain
1012-1630-csucs	1630-csucs	1305	uncertain
1022-1649-csunya	1649-csunya	1221	uncertain
1023-1650-csup	1650-csup	1392	uncertain
1056-1701-dalm	1701-dalm	1138	unknown
1062-1714-darazs	1714-darazs	1389	unknown
1089-1752-delceg	1752-delceg	1377	unknown
1107-1775-denever	1775-denever	1395	unknown
1122-1800-dever	1800-dever	1214	unknown
1156-1854-disz	1854-disz	1372	unknown
1235-1973-dul	1973-dul	1358	unknown
1271-2030-ed	2030-ed	1138	uncertain
1273-2033-edeny	2033-edeny	1372	unknown
1279-2042-eger	2042-eger	1067	unknown
1280-2044-egesz	2044-egesz	1372	uncertain
1349-2127-eleve	2127-eleve	1055	uncertain
1361-2142-elme	2142-elme	1372	uncertain
1416-2217-er	2217-er	1055	uncertain
