ID	EntryID	Year	Etymology
0-1-a	1-a	1833	
1-2-a	2-a	1372	
3-5-abajgat	5-abajgat	1662	
8-14-abrak	14-abrak	1494	Slavic
10-17-abraz	17-abraz	1372	
11-18-abriktol	18-abriktol	1835	
12-19-abroncs	19-abroncs	1467	Slavic
13-20-abrosz	20-abrosz	1372	Slavic
15-22-abszolut	22-abszolut	1579	
17-24-absztrakcio	24-absztrakcio	1786	
19-26-abszurd	26-abszurd	1761	
20-27-acel	27-acel	1086	Slavic
23-31-acsa	31-acsa		unknown
24-32-acsarkodik	32-acsarkodik	1645	
25-34-acsingozik	34-acsingozik	1833	
27-36-ad	36-ad	1086	Proto-Finno-Ugric
29-39-adazik	39-adazik	1533	
31-41-adjusztal	41-adjusztal	1717	
37-48-adressziroz	48-adressziroz	1789	
40-53-afium	53-afium	1546	
44-63-agenda	63-agenda	1550	
46-67-aggik	67-aggik	1486	
47-70-agresszio	70-agresszio	1657	
52-79-agyar	79-agyar	1456	Proto-Finno-Ugric
58-85-aj	85-aj	1055	
64-97-akademia	97-akademia	1559	
65-100-akaszt	100-akaszt	1192	
66-101-aggik	101-aggik	1577	
67-104-agresszio	104-agresszio	1657	
68-105-agrolszakadt	105-agrolszakadt	1793	
69-106-agronomus	106-agronomus	1865	
70-109-agyabugyal	109-agyabugyal	1669	
71-110-agyafurt	110-agyafurt	1538	
72-111-agyag	111-agyag	1205	
73-113-agyek	113-agyek	1490	
74-114-agynemu	114-agynemu	1748	
75-115-agyon	115-agyon	1551	
76-116-agyu	116-agyu	1456	
77-117-ahit	117-ahit	1416	
78-118-aj	118-aj	1833	
79-119-aj	119-aj	1055	
80-120-ajak	120-ajak	1228	
81-121-ajandek	121-ajandek	1137	
82-123-ajer	123-ajer	1565	
83-125-ajtatos	125-ajtatos	1372	
84-126-ajto	126-ajto	1315	
85-127-ajtofel	127-ajtofel	1512	
86-128-ajul	128-ajul	1559	
87-131-akademia	131-akademia	1559	
88-132-akar	132-akar	1109	
89-134-akaszt	134-akaszt	1192	
93-139-akkumulal	139-akkumulal	1725	
94-140-akkumulacio	140-akkumulacio	1730	
100-152-aktivizal	152-aktivizal	1820	
101-153-aktualis	153-aktualis	1708	
104-158-al	158-al	1219	
105-160-ala	160-ala	1307	
108-166-alakor	166-alakor	1450	
109-167-alamizsna	167-alamizsna	1372	Slavic
110-168-alamuszi	168-alamuszi	1632	
113-172-alarm	172-alarm	1722	
116-175-alattomban	175-alattomban	1519	
122-183-ald	183-ald	1193	Proto-Finno-Ugric
124-186-alel	186-alel	1552	
132-195-alkohol	195-alkohol	1789	
133-196-alkonyodik	196-alkonyodik	1573	
134-198-alkot	198-alkot	1416	
136-202-all	202-all	1372	
140-207-allapik	207-allapik	1416	
154-222-almel	222-almel	1456	
158-227-alom	227-alom	1091	Proto-Finno-Ugric
161-230-alorca	230-alorca	1520	
163-233-alszik	233-alszik	1265	
165-235-altal	235-altal	1258	
167-238-am	238-am	1462	
170-241-ambar	241-ambar	1540	
171-242-ambicio	242-ambicio	1577	
179-253-amputacio	253-amputacio	1796	
180-254-amul	254-amul	1456	
182-256-analfabeta	256-analfabeta	1879	
184-258-anarchia	258-anarchia	1708	
188-265-anglus	265-anglus	1405	
199-281-antipatia	281-antipatia	1589	
208-290-apa	290-apa	1055	Proto-Finno-Ugric
211-293-apad	293-apad	1131	
212-294-apaszt	294-apaszt	1399	
215-297-apellal	297-apellal	1559	
224-311-ar	311-ar	1193	
225-312-ar	312-ar	1395	Proto-Finno-Ugric
226-313-ar	313-ar	1836	
229-316-aramlik	316-aramlik	1820	
231-320-aranyoz	320-aranyoz	1527	
232-321-arasz	321-arasz	1405	Proto-Finno-Ugric
233-323-arboc	323-arboc	1470	
235-328-arendal	328-arendal	1556	
236-329-arestal	329-arestal	1579	
238-332-argumentum	332-argumentum	1569	
242-337-arisztokracia	337-arisztokracia	1708	
245-343-armada	343-armada	1609	
247-349-arnyek	349-arnyek	1275	
252-354-art	354-art	1456	
255-357-artezikut	357-artezikut	1832	
256-359-artikulal	359-artikulal	1840	
262-371-aspa	371-aspa	1405	
263-372-aspiral	372-aspiral	1563	
264-374-aspirans	374-aspirans	1806	
269-381-aszkezis	381-aszkezis	1792	
272-387-asszisztal	387-asszisztal	1623	
273-391-asztal	391-asztal	1293	Slavic
274-393-asztma	393-asztma	1695	
275-397-atalag	397-atalag	1395	
277-399-ateizmus	399-ateizmus	1752	
281-406-atleta	406-atleta	1636	
290-421-automata	421-automata	1822	
293-424-autonomia	424-autonomia	1826	
295-426-avar	426-avar	1485	Proto-Finno-Ugric
298-431-avik	431-avik	1565	
299-434-az	434-az	1372	
300-435-az	435-az	1372	
307-443-azutan	443-azutan	1372	
309-447-abraz	447-abraz	1372	
310-449-aszkezis	449-aszkezis	1792	
311-454-baba	454-baba	1111	Slavic
312-457-babo	457-babo	1641	
316-461-babuk	461-babuk	1600	
322-471-bagazsia	471-bagazsia	1644	
326-476-bagzik	476-bagzik	1283	
327-477-bagyad	477-bagyad	1416	
332-484-bajos	484-bajos	1387	
334-487-bajvivas	487-bajvivas	1395	
341-501-baktat	501-baktat	1659	
349-515-balin	515-balin	1395	
350-516-balis	516-balis	1799	
367-543-bankir	543-bankir	1792	
371-547-banya	547-banya	1217	Slavic
377-556-barangol	556-barangol	1786	
381-563-barazda	563-barazda	1086	Slavic
390-580-barkochba	580-barkochba	1922	
391-581-barlang	581-barlang	1233	Slavic
400-597-batik	597-batik	1893	
410-608-bavad	608-bavad	1577	
424-629-beg	629-beg	1292	
431-640-bel	640-bel	1055	Proto-Finno-Ugric
436-649-abbeli	649-abbeli	1520	
439-653-belul	653-belul	1372	
441-658-benne	658-benne	1372	
442-659-benneteket	659-benneteket	1573	
448-668-berc	668-berc	1135	Slavic
450-672-beretra	672-beretra	1518	
454-677-berkenye	677-berkenye	1055	Slavic
458-681-berzenkedik	681-berzenkedik	1566	
460-684-beslia	684-beslia	1552	
461-685-beste	685-beste	1490	
462-688-beszed	688-beszed	1138	
476-708-biccent	708-biccent	1767	
485-718-biggyeszt	718-biggyeszt	1636	
486-719-bigyeg	719-bigyeg	1808	
494-729-billeg	729-billeg	1565	
499-735-bincsok	735-bincsok	1591	
500-736-biologia	736-biologia	1815	
503-740-birkodik	740-birkodik	1650	
507-750-bizgat	750-bizgat	1585	
510-753-bizony	753-bizony	1057	
511-754-bizton	754-bizton	1535	
514-757-bizserel	757-bizserel	1787	
515-759-blamiroz	759-blamiroz	1844	
522-772-bocer	772-bocer	1405	
524-774-bocs	774-bocs	1237	Slavic
525-776-bocsanat	776-bocsanat	1372	
526-777-bocsar	777-bocsar	1002	Slavic
542-809-bojtorkodik	809-bojtorkodik	1628	
545-812-boklal	812-boklal	1831	
548-820-boksz	820-boksz	1780	
553-827-bolha	827-bolha	1200	Slavic
554-828-bologat	828-bologat	1783	
555-829-bolond	829-bolond	1200	Slavic
556-831-bolsevik	831-bolsevik	1907	
567-849-bont	849-bont	1337	
574-862-borissza	862-borissza	1434	
575-863-borit	863-borit	1456	
576-864-borul	864-borul	1512	
579-868-borona	868-borona	1406	Slavic
580-869-borona	869-borona	1481	Slavic
581-871-borostyan	871-borostyan	1282	Slavic
583-874-borotva	874-borotva	1332	Slavic
587-881-borzad	881-borzad	1516	
588-882-borzalom	882-borzalom	1814	
589-884-boszorkany	884-boszorkany	1552	
