ID	EntryID	Year	Etymology
51-78-agyag	78-agyag	1205	unknown
325-475-bagoly	475-bagoly	1211	unknown
339-498-bako	498-bako	1229	unknown
420-621-beco	621-beco	1247	unknown
508-751-bizik	751-bizik	1138	unknown
563-843-bonc	843-bonc	1193	unknown
602-905-bogre	905-bogre	1577	unknown
687-1047-bun	1047-bun	1512	unknown
690-1050-burok	1050-burok	1357	unknown
769-1186-cenk	1186-cenk	1138	unknown
836-1300-comb	1300-comb	1407	unknown
860-1341-csak	1341-csak	1372	unknown
912-1427-csen	1427-csen	1138	unknown
1024-1651-csupa	1651-csupa	1416	unknown
1034-1674-csung	1674-csung	1416	unknown
1056-1701-dalm	1701-dalm	1138	unknown
1062-1714-darazs	1714-darazs	1389	unknown
1089-1752-delceg	1752-delceg	1377	unknown
1107-1775-denever	1775-denever	1395	unknown
1122-1800-dever	1800-dever	1214	unknown
1137-1827-dij	1827-dij	1510	unknown
1156-1854-disz	1854-disz	1372	unknown
1196-1919-dof	1919-dof	1566	unknown
1235-1973-dul	1973-dul	1358	unknown
1244-1989-durva	1989-durva	1588	unknown
1273-2033-edeny	2033-edeny	1372	unknown
1279-2042-eger	2042-eger	1067	unknown
1431-2240-erkolcs	2240-erkolcs	1372	unknown
1436-2248-erszeny	2248-erszeny	1380	unknown
1450-2274-eszkoz	2274-eszkoz	1395	unknown
1646-2561-finak	2561-finak	1587	unknown
1767-2739-fosveny	2739-fosveny	1372	unknown
1845-2872-galacsin	2872-galacsin	1560	unknown
1854-2894-galy	2894-galy	1577	unknown
1905-2989-geszt	2989-geszt	1213	unknown
1913-3006-gim	3006-gim	1113	unknown
1942-3048-gond	3048-gond	1273	unknown
1956-3074-godor	3074-godor	1251	unknown
1975-3103-goz	3103-goz	1364	unknown
2043-3214-gyenge	3214-gyenge	1282	unknown
2046-3218-gyepu	3218-gyepu	1212	unknown
2047-3219-gyer	3219-gyer	1291	unknown
2048-3220-gyere	3220-gyere	1490	unknown
2055-3234-gyors	3234-gyors	1372	unknown
2056-3235-gyota	3235-gyota	1211	unknown
2063-3244-gyoz	3244-gyoz	1372	unknown
2071-3256-gyur	3256-gyur	1300	unknown
2091-3294-hagyman	3294-hagyman	1395	unknown
2114-3338-halk	3338-halk	1449	unknown
2119-3351-hamar	3351-hamar	1198	unknown
2128-3368-hanga	3368-hanga	1293	unknown
2150-3405-harcsa	3405-harcsa	1193	unknown
2166-3426-has	3426-has	1372	unknown
2176-3439-hatak	3439-hatak	1405	unknown
2226-3515-herep	3515-herep	1332	unknown
2231-3523-hermec	3523-hermec	1405	unknown
2264-3572-hig	3572-hig	1510	unknown
2291-3605-hitvany	3605-hitvany	1138	unknown
2292-3609-hiuz	3609-hiuz	1395	unknown
2344-3688-horka	3688-horka	1193	unknown
2364-3712-ho	3712-ho	1200	unknown
2373-3725-hug	3725-hug	1131	unknown
2410-3794-idegen	3794-idegen	1295	unknown
2459-3868-in	3868-in	1077	unknown
2463-3875-inda	3875-inda	1585	unknown
2563-4008-izzik	4008-izzik	1582	unknown
2621-4091-juh	4091-juh	1198	unknown
2690-4207-kacsinka	4207-kacsinka	1577	unknown
2697-4220-kadoc	4220-kadoc	1544	unknown
2711-4253-kakics	4253-kakics	1263	unknown
2744-4310-kamasz	4310-kamasz	1237	unknown
2756-4334-kanal	4334-kanal	1395	unknown
2761-4342-kancso	4342-kancso	1361	unknown
2771-4358-kanko	4358-kanko	1422	unknown
2837-4460-karcsu	4460-karcsu	1574	unknown
2924-4596-keresz	4596-keresz	1570	unknown
2989-4697-kelevez	4697-kelevez	1273	unknown
2994-4704-kem	4704-kem	1138	unknown
2999-4713-ken	4713-ken	1416	unknown
3015-4735-kep	4735-kep	1138	unknown
3038-4762-kim	4762-kim	1493	unknown
3134-4923-kocsord	4923-kocsord	1270	unknown
3250-5093-kopolya	5093-kopolya	1341	unknown
3275-5126-korlat	5126-korlat	1324	unknown
3297-5158-kosbor	5158-kosbor	1585	unknown
3331-5215-kolonte	5215-kolonte	1577	unknown
3603-5629-lt	5629-lt	1121	unknown
3648-5692-lonc	5692-lonc	1578	unknown
3652-5702-lorom	5702-lorom	1395	unknown
3686-5761-madar	5761-madar	1113	unknown
3709-5791-majc	5791-majc	1435	unknown
3752-5852-maszik	5852-maszik	1214	unknown
3845-5986-megy	5986-megy	1367	unknown
