ID	Entry_ID	Segments	Meaning	reconstructed
1	30-acs	aː t͡ʃ	Zimmermann	^(a|aː|o|a.ɣ.a)(t͡ʃ|l.t͡ʃ)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk)?$
2	31-acsa	ɒ t͡ʃ ɒ	Libelle	^(a|o)(t͡ʃ|l.t͡ʃ|r.t͡ʃ)(a|a.ɣ|a.w|ɒ)?(i|y|ɛ)?$
3	36-ad	ɒ d	zukommen, lassen, schenken, geben, liefern, lassen, verkaufen, veröffentlichen, Geben, Beleg, Angabe, Gesetzgeber, Herausgeber, Teil, Tradition, Beitrag	^(a|o)(n)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
5	56-ag	aː ɡ	Ast, Sippe, herausragender, Teil, etw, Arm, Teil, abzweigen	^(a|aː|o|a.ɣ.a)(ɡ|k)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk)?$
6	60-agar	ɒ ɡ aː r	Windhund, magerer, Mensch	^(a|o)(ɡ)(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(r)(i|y|ɛ|u|i.ɣ|a.t|ɛk)?$
7	74-agy	ɒ ɟ	Schädel, Kopf, Nabe, Gewehrkolben, Halfter, Gehirn, Vernunft, verprügeln, ersinnen	^(a|o)(ɟ)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
8	78-agyag	ɒ ɟ ɒ ɡ	Ton	^(a|o)(l.d|d)(a|ɒ|o|a.ɣ)?(ɡ|k)(i|y)?$
9	85-aj	aː j	Tal, Schlucht, Öffnung, Falz, Kerbe, Zaum, Zwischenraum, angezeichnet, Sardelle, Sardelle	^(a|aː|o|a.ɣ.a)(l|j|ɣ.y.l)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk)?$
10	87-ajandek	ɒ j aː n.d eː k	Geschenk, Opfergabe	^(a|o)(l|j|j.a|ɣ)(a)(n.d|n)(ɛ|i|eː|ø|y|a|e)(k)$
11	98-akar	ɒ k ɒ r	freiwillig, gewaltsam	^(a|o)(k)(a|ɒ|o|a.ɣ)?(r)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a)?$
13	107-agy	ɒ ɟ	Schädel, Kopf, Nabe, Gewehrkolben, Halfter, Gehirn, Vernunft, verprügeln, ersinnen	^(a|o)(ɟ)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
14	111-agyag	ɒ ɟ ɒ ɡ	Ton, Lehm	^(a|o)(l.d|d)(a|ɒ|o|a.ɣ)?(ɡ|k)(i|y)?$
15	119-aj	aː j	Tal, Schlucht, Öffnung, Zwischenraum, Falz, Kerbe, Zaum, angezeichnet, Sardelle	^(a|aː|o|a.ɣ.a)(l|j|ɣ.y.l)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk)?$
16	121-ajandek	ɒ j aː n.d eː k	Geschenk, Opfergabe	^(a|o)(l|j|j.a|ɣ)(a)(n.d|n)(ɛ|i|eː|ø|y|a|e)(k)$
17	132-akar	ɒ k ɒ r	freiwillig, gewaltsam	^(a|o)(k)(a|ɒ|o|a.ɣ)?(r)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a)?$
19	142-akna	ɒ k.n ɒ	Spund, Schacht, Öffnung, Fenster, Bergwerk, Kamin, Geschoß, Soldat	^(a|o)(k.ɛ.n)(a|a.ɣ|a.w|ɒ)?(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a)?$
20	144-akol	ɒ k o l	Viehstall, Art	^(a|o)(k)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(l|j)?(i|y)?$
22	158-al	ɒ l	unterer, Tiefland, etw, befindliches, Gebiet, etw, befindliche, Sache, Unterteil, Rest, Streu, Grund, Basis	^(a|o)(l|j)?(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
23	159-al	aː l	falsch, Falschheit	^(a|aː|o|a.ɣ.a)(l|j)?(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk)?$
24	163-alacsony	ɒ l ɒ t͡ʃ o ɲ	klein, untergeordnet, niederträchtig, niedergedrückt, niederträchtig	^(a|o)(l|r.l|l.k)(a)(t͡ʃ|l.t͡ʃ|r.t͡ʃ)(u|o|a|ɒ|o.ɣ.o)?(n)$
26	184-aldomas	aː l.d o m aː ʃ	Opfer, Segnung, Erlaubnis, Gelage, Trinkspruch	^(a|aː|o|a.ɣ.a)(l.d|n.d)(u|o|a)?(m)(a)(t͡ʃ|ɣ|ʃ|l.t͡ʃ)$
27	219-alma	ɒ l.m ɒ	Apfelbaum, Apfel, Ausdruck, Verneinung, Apfelgarten, versehen, zB, weißes, Pferd, faul, Arg	^(a|o)(l.m)(a|a.ɣ|a.w|ɒ)?(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a)?$
28	227-alom	aː l o m	Traum, Schlaf, Einschlafen	^(a|aː|o|a.ɣ.a)(l|r.l|l.k)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(m)(i)?$
29	282-anya	ɒ ɲ ɒ	Mutter, Vorgesetzte, Leiterin, Ursprung, Muttertier, Mütterchen	^(a|o)(n|m)(a|a.ɣ|a.w|ɒ)?(i|y|ɛ|u)?$
30	290-apa	ɒ p ɒ	Vater, Mann, Zunftmeister, Schwiegervater, geistiger, Urheber, Mann, Ahn, Mann, Väterchen, Väterchen, Väterchen, Väterchen	^(a|o)(p)(a|a.ɣ|a.w|ɒ)?(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a)?$
31	293-apad	ɒ p ɒ d	versiegen, Substanz, verlieren	^(a|o)(p)(a|ɒ|o|a.ɣ)?(n)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a)?$
32	296-apat	ɒ p aː t	Abt	^(a|o)(p)(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(t)(i|y|ɛ|u|i.ɣ|a.t|ɛk)?$
34	311-ar	aː r	strömen, schwellen	^(a|aː|o|a.ɣ.a)(r)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a|iɣ|ɣ|uk|ø.k)?$
35	318-arany	ɒ r ɒ ɲ	Gold, Geld, Schatz, Goldmünze	^(a|o)(r|j.r|w.r)(a|ɒ|o|a.ɣ)?(n|m)(i)?$
36	322-arat	ɒ r ɒ t	ernten	^(a|o)(r|j.r|w.r)(a|ɒ|o|a.ɣ)?(t)(i|y|ɛ)?$
37	351-arok	aː r o k	Grube, Graben, Wallgraben, Tal, Graben, ziehen	^(a|aː|o|a.ɣ.a)(r|j.r)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(k|ɡ)$
38	353-arpa	aː r.p ɒ	Gerste, Gerstenkorn, Auge	^(a|aː|o|a.ɣ.a)(r.p)(a|a.ɣ|a.w|ɒ)?(i|y|ɛ|u)?$
39	356-artany	aː r.t aː ɲ	Eber	^(a|aː|o|a.ɣ.a)(r.t|r.i.t)(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(n|m)$
40	361-aru	aː r u	Ware, Verhandeln, Verrat, verkaufen, Verkäufer, Verräter, Verkäufer, Verräter, Verkäufer, Verräter	^(a|aː|o|a.ɣ.a)(r|j.r|w.r)(u.ɣ|u|a.ɣ)(i|y)?$
41	362-arva	aː r.v ɒ	Waise, einsam, verlassen, verwitwet	^(a|aː|o|a.ɣ.a)(r.ɣ|r.v|r|r.y.ɣ)(a|a.ɣ|a.w|ɒ)?(i)?$
43	382-aszo	ɒ s oː	zeitweiliger, Wasserlauf, Trockental	^(a|o)(s)(a.ɣ|u.ɣ|a.ɣ.u|i.ɣ|o.ɣ|uɣ|ɯ.ɣ|u.j|a.w|a|u)(i|y|ɛ|u)?$
44	389-asszony	ɒ sː o ɲ	Königin, Herrin, Frau, verheiratete, Frau, Fräulein, weibliches, Geschlecht	^(a|o)(s)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(n|m)(i|y|ɛ)?$
45	395-aszu	ɒ s uː	trocken, Gelände, Flußbett, usw, verdorrt, Pflanze, Krankheit, Greisenalter, getrocknet, Fisch, gedörrt, Obst, mager, Krankheit, zubereitet, Wein, Dürre	^(a|o)(s)(a.ɣ|u.ɣ|u|a.ɣ.u|o.ɣ)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a)?$
49	453-baba	b ɒ b ɒ	Kindchen, Säugling, Frau, Geliebte, Webstuhl, Bestandteil, verschiedener, Figur, Kegelspiel, verbundener, Finger, Kindchen	^(b)(a|ɒ|o|a.ɣ)?(b)(a|a.ɣ|a.w|ɒ)?(i|y|ɛ)?$
50	454-baba	b aː b ɒ	altes, Weib, Hebamme, Großmutter, Hexe, Marktfrau	^(b)(a|aː|a.ɣ.a|a.ɣ.i|i|a.ɣ|a.v.a)(b)(a|a.ɣ|a.w|ɒ)?(i|y)?$
51	475-bagoly	b ɒ ɡ o j	Eule, Nachteule, Menschen, Schuljunge, Alte, dumm	^(b)(a|ɒ|o|a.ɣ)?(ɡ)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(l|j|ɣ.y.l)$
52	479-baj	b ɒ j	Kampf, Zweikampf, Ort, Sorge, Angelegenheit, Plackerei, Krankheit, Defekt, Menstruation, Notdurft, Hinderniss	^(b)(a|ɒ|o|a.ɣ)?(l|j|ɣ.y.l)(i|y|ɛ|u|i.ɣ|a.t)?$
54	482-bajor	b ɒ j o r	Bayer, bayerisch	^(b)(a|ɒ|o|a.ɣ)(l|j|j.a|ɣ)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(r)$
55	488-bak	b ɒ k	bock, Widder, Art, Gerüst, Holz, Kutschbock, Art	^(b)(a|ɒ|o|a.ɣ)?(k|ɡ)(i|y|ɛ|u|i.ɣ|a.t|ɛk|øk|a)?$
57	499-bakol	b ɒ k o l	entgegensetzen, widerspenstig, Pferde, Hanf, brechen, Pfahl, Erde, treiben	^(b)(a|ɒ|o|a.ɣ)?(k)(u|o|a|ɒ|o.ɣ.o|ɯ|i)?(l|j)?$
58	504-bal	b ɒ l	linke, böse, falsch, linke, Seite, linke, Hand, Linkshänder	^(b)(a|ɒ|o|a.ɣ)?(l|j)?(i|y|ɛ|u|i.ɣ|a.t)?$
